rp,return_value,ci_low,ci_high
10000.0,1961.2337695997107,1672.0896077299283,2244.8437098107615
10234.114021054527,1973.6557290920898,1682.9770151559737,2257.5570076605127
10473.708979594487,1985.9555144620613,1693.2251157452674,2268.4619074143284
10718.913192051286,1998.137422816145,1703.4203028673953,2279.202626229802
10969.857978923841,2010.2055047701062,1713.740673948072,2289.7845531018065
11226.677735108136,2022.163583090367,1725.2316728602182,2300.2127781090526
11489.510001873086,2034.0152695859417,1735.3941355033426,2314.4312446753847
11758.495540521557,2045.7639804460043,1746.288577452689,2328.528110520247
12033.778407775904,2057.41295019309,1756.3871290278014,2342.4698865968394
12315.506032928262,2068.9652444005314,1763.5908354390144,2354.4716051438
12603.829296797274,2080.4237713043285,1775.075980277926,2365.8579605913887
12898.90261253308,2091.7912924238317,1792.431572530898,2377.023513085938
13200.884008314168,2103.070432291959,1804.012064548868,2385.007095171938
13509.935211980279,2114.263687383878,1815.6044840059126,2395.5698701453316
13826.221737646563,2125.3734343227916,1827.2102096548547,2407.623191885445
14149.91297434576,2136.401937432605,1837.533865668681,2418.9464838366575
14481.18227674533,2147.3513556994176,1847.7550883251042,2426.4841665546965
14820.207057988571,2158.223749197041,1861.7573235233551,2438.233374956412
15167.168884709241,2169.021085025758,1874.932786633609,2450.26194655808
15522.25357427048,2179.7452428083157,1885.8950958404341,2461.761819198756
15885.651294280528,2190.3980197825663,1897.2876191651796,2471.8293061312247
16257.556664437934,2200.9811355260795,1907.933322196984,2482.687387552955
16638.168860761274,2211.496236344495,1916.4882567371442,2494.145078662004
17027.691722259013,2221.9448993522033,1924.7318988763752,2506.6593429957834
17426.333860096507,2232.3286362711156,1936.1772327755032,2516.7156598495717
17834.308769319094,2242.648896970812,1947.391087365588,2525.6616230120285
18251.834943190424,2252.9070727710982,1954.9187017687066,2534.3069336465464
18679.135990207807,2263.1044995260377,1962.4029764658628,2543.1524095727236
19116.440753857038,2273.2424605067613,1967.9748661128954,2551.853752869613
19563.98343517065,2283.3221890987293,1976.09463053976,2561.332805968438
20022.003718155844,2293.3448713277658,1984.5428626578298,2571.326590963371
20490.74689815846,2303.3116482278388,1994.487506539388,2583.136030569982
20970.464013232307,2313.223618062462,2002.637295230631,2596.3266154642197
21461.41197858406,2323.0818384105555,2014.509831186046,2611.9292406376167
21963.85372416547,2332.8873281266424,2024.417717739752,2624.1418987054394
22478.058335487254,2342.6410691844694,2031.675101455523,2634.426222347775
23004.301197729168,2352.3440084123263,2035.5523441185724,2644.6105524454947
23542.864143224153,2361.9970591276992,2039.373792637305,2655.652394669923
24094.03560239527,2371.6011026782367,2043.1526160984683,2664.698284225697
24658.110758226037,2381.1569898954635,2049.1432258788595,2672.223618821782
25235.391704347658,2390.6655424671662,2059.1014095912856,2679.6472460002533
25826.18760682675,2400.1275542338753,2070.0128581385466,2690.3121409784
26430.81486974103,2409.5437924145003,2077.745217144982,2699.407849736215
27049.59730463137,2418.9149987657283,2088.8593455584114,2709.0215856304158
27682.866303920666,2428.2418906794846,2094.042928944003,2716.1667043031375
28330.961018393242,2437.5251622224255,2101.4213940828927,2726.502723711675
28994.228538828753,2446.7654851211046,2108.444889144596,2737.730423248773
29673.024081888667,2455.9635096962384,2117.396325016952,2748.7880737398887
30367.711180354607,2465.1198657492014,2123.908406013866,2759.724836382577
31078.66187782014,2474.2351634036836,2128.470819529922,2770.381509724386
31806.25692794119,2483.3099939052236,2131.3384315335397,2779.606848839629
32550.885998350564,2492.344930381134,2136.201865144382,2788.6380092765826
33312.9478793467,2501.340528563176,2144.8542697348626,2796.852654348026
34092.850697468144,2510.2973274751603,2148.208527853379,2804.9385675515955
34891.012134067736,2519.2158500875107,2154.7494483207092,2815.215779238689
35707.859649004626,2528.096603940699,2160.6604000038656,2824.6744106474653
36543.83070957255,2536.9400817393002,2162.332157098721,2834.9652357145787
37399.373024788016,2545.746761918349,2167.5656903153717,2844.13492644677
38274.94478516315,2554.5171091835105,2174.0950348883625,2854.6087952719886
39171.014908092606,2563.251575026542,2180.2553325124836,2864.3361940374793
40088.063288984646,2571.950598217373,2182.283381102175,2873.772845526201
41026.581058271906,2580.6146052740787,2185.3725124759135,2885.4729745225804
41987.070844439055,2589.244010911928,2189.189152255472,2893.4818409032587
42970.04704320844,2597.8392184726263,2191.279700007887,2906.139890541768
43976.036093027215,2606.4006203347744,2196.742681374481,2919.611497782401
45005.57675700497,2614.928598306556,2205.729609823372,2937.4942009715796
46059.22041145104,2623.423524001528,2212.6947955363926,2947.292855780288
47137.53134116729,2631.8857591984224,2218.2727010784433,2958.9618478044804
48241.08704165374,2640.315656185727,2223.0070512923203,2968.8979853596916
49370.478528390035,2648.7135580918534,2224.2565493516354,2978.799276409581
50526.3106533568,2657.079799201573,2225.480975076224,2988.6660917401314
51709.202428967554,2665.414705259417,2228.776330137913,3000.3349542562128
52919.78735958436,2673.7185937606773,2229.8641478382824,3014.3071124310964
54158.71378079476,2681.9917742306025,2233.876814455668,3031.9859145039645
55426.645206631074,2690.2345484923626,2237.3803983061025,3048.357934790319
56724.26068491978,2698.4472109243216,2238.267132091772,3059.186640866418
58052.25516094896,2706.630048707106,2239.194245001925,3076.50177130466
59411.3398496504,2714.78334206097,2243.7015035158056,3093.84327261653
60802.24261649427,2722.9073644738883,2244.9083517878234,3116.4732608563168
62225.708367302315,2731.0023829208217,2245.6524561150545,3139.2998848961556
63682.49944718586,2739.0686580745464,2246.3770148394374,3157.6113153943434
65173.3960488242,2747.1064445084294,2247.082565986705,3180.858725265093
