rp,return_value,ci_low,ci_high
10000.0,1939.8601704652501,1645.5414119629363,2256.6417458046244
10234.114021054527,1951.4068312345996,1657.4337753346433,2269.1076668009287
10473.708979594487,1962.908571021826,1669.2842131768043,2281.405304753794
10718.913192051286,1974.3655645869476,1677.7723519322788,2293.545846220263
10969.857978923841,1985.7779860100954,1686.2796246368537,2305.53129803436
11226.677735108136,1997.1460086941643,1694.8060784521408,2317.3636413937375
11489.510001873086,2008.4698053674442,1703.3614104448932,2329.044832187161
11758.495540521557,2019.7495480862444,1712.9837602004254,2340.576801317821
12033.778407775904,2030.9854082375093,1723.2580835979181,2351.9614550225124
12315.506032928262,2042.1775565414202,1731.8155594097814,2363.635115458178
12603.829296797274,2053.3261630539923,1743.4731565476818,2374.761046021242
12898.90261253308,2064.431397169656,1755.0580704644458,2385.74566566238
13200.884008314168,2075.493427623834,1765.5093312016827,2397.044459787233
13509.935211980279,2086.5124224955,1776.0817723129487,2409.483202159701
13826.221737646563,2097.488549209736,1786.940991052708,2421.810574500991
14149.91297434576,2108.421974540277,1798.9303944927506,2433.9878480285943
14481.18227674533,2119.312864612042,1808.9998178139276,2446.0545747691317
14820.207057988571,2130.1613849036617,1819.9122601263891,2458.012327938192
15167.168884709241,2140.967700249989,1828.740392349176,2469.862093785949
15522.25357427048,2151.7319748446057,1837.1734133578657,2481.6048496118296
15885.651294280528,2162.4543722423173,1845.5183264569434,2493.241563846034
16257.556664437934,2173.135055361637,1854.7283864500553,2503.5074184956884
16638.168860761274,2183.774186487265,1864.8324510225773,2515.526048703372
17027.691722259013,2194.3719272725475,1873.169894543264,2527.6402247809656
17426.333860096507,2204.9284387419366,1882.4396919963144,2538.929355270208
17834.308769319094,2215.4438812934395,1893.2861891140203,2550.0565730213025
18251.834943190424,2225.9184147010515,1901.6692627961936,2559.5592465215127
18679.135990207807,2236.3521981171857,1913.0903847947845,2568.340684337266
19116.440753857038,2246.745390075091,1923.4743381900787,2574.469140714538
19563.98343517065,2257.0981484912586,1933.026156461045,2581.668101312791
20022.003718155844,2267.4106306678245,1941.7993471000425,2592.268952545252
20490.74689815846,2277.6829932949604,1949.74112263704,2602.3142174913432
20970.464013232307,2287.915392453249,1958.641586117501,2611.635916511459
21461.41197858406,2298.1079836160634,1967.5578476582978,2621.48616186343
21963.85372416547,2308.26092165192,1976.22093059327,2630.2003839125864
22478.058335487254,2318.374360826841,1984.8280956872256,2640.835676003194
23004.301197729168,2328.4484548066907,1990.8069865783234,2649.0268932096533
23542.864143224153,2338.483356659517,1996.9291643440706,2652.4645610694924
24094.03560239527,2348.4792188578726,2004.90853401906,2659.568997026724
24658.110758226037,2358.4361932811307,2016.773164040556,2666.4515526749847
25235.391704347658,2368.3544312177974,2023.7806623546803,2674.8714806789408
25826.18760682675,2378.234083367807,2028.1544630465987,2683.9089568691193
26430.81486974103,2388.075299844814,2037.4571128533366,2691.9107322834843
27049.59730463137,2397.8782301784704,2046.8467415196353,2699.8192127917428
